iucn_sid,year,rgn_cat_ts,rgn_cat_ts_score,iucn_rgn,iucn_version
194843,2011,VU,0.4,mediterranean,2017-3
194843,2014,LC,0,mediterranean,2017-3
194844,2011,LC,0,mediterranean,2017-3
194844,2014,LC,0,mediterranean,2017-3
194855,2011,LC,0,mediterranean,2017-3
194855,2014,LC,0,mediterranean,2017-3
194863,2011,LC,0,mediterranean,2017-3
194863,2014,LC,0,mediterranean,2017-3
194874,2011,LC,0,mediterranean,2017-3
194874,2014,LC,0,mediterranean,2017-3
194885,2011,EN,0.6,mediterranean,2017-3
194885,2014,EN,0.6,mediterranean,2017-3
194891,2011,LC,0,mediterranean,2017-3
194891,2014,LC,0,mediterranean,2017-3
198764,2014,LC,0,europe,2017-3
198764,2015,LC,0,europe,2017-3
19891838,2012,LC,0,europe,2017-3
19891838,2017,LC,0,europe,2017-3
20077,1994,EN,0.6,europe,2017-3
20077,1996,VU,0.4,europe,2017-3
202937,2012,LC,0,europe,2017-3
202937,2017,LC,0,europe,2017-3
203003,2012,LC,0,europe,2017-3
203003,2017,LC,0,europe,2017-3
203004,2012,LC,0,europe,2017-3
203004,2017,LC,0,europe,2017-3
203005,2012,LC,0,europe,2017-3
203005,2017,LC,0,europe,2017-3
203275,2013,LC,0,europe,2017-3
203275,2014,LC,0,europe,2017-3
203357,2012,LC,0,europe,2017-3
203357,2017,LC,0,europe,2017-3
203369,2014,LC,0,europe,2017-3
203369,2017,LC,0,europe,2017-3
203397,2012,LC,0,europe,2017-3
203397,2017,LC,0,europe,2017-3
203471,2013,LC,0,europe,2017-3
203471,2017,LC,0,europe,2017-3
20411,2008,LC,0,mediterranean,2017-3
20411,2016,LC,0,mediterranean,2017-3
215,1994,EN,0.6,europe,2017-3
215,1996,VU,0.4,europe,2017-3
215,2011,VU,0.4,europe,2017-3
215,2017,VU,0.4,europe,2017-3
22208,2006,CR,0.8,pan-africa,2017-3
22208,2010,CR,0.8,pan-africa,2017-3
23030,1994,EN,0.6,europe,2017-3
23030,1996,VU,0.4,europe,2017-3
2560,2007,EN,0.6,pan-africa,2017-3
2560,2017,EN,0.6,pan-africa,2017-3
2569,2007,EN,0.6,pan-africa,2017-3
2569,2017,EN,0.6,pan-africa,2017-3
2574,2007,NT,0.2,pan-africa,2017-3
2574,2017,NT,0.2,pan-africa,2017-3
2805,1994,EN,0.6,europe,2017-3
2805,1996,VU,0.4,europe,2017-3
2846,1996,VU,0.4,europe,2017-3
2846,2017,NT,0.2,europe,2017-3
30313,1998,VU,0.4,europe,2017-3
30313,1998,VU,0.4,europe,2017-3
30318,2011,EN,0.6,europe,2017-3
30318,2017,EN,0.6,europe,2017-3
