iucn_sid,iucn_rgn,years,cat_ts,scores,pop_trend_desc,calc_trend
22697935,global,"1994, 1996, 2000, 2004, 2006, 2007, 2008, 2009, 2010, 2012, 2013, 2015, 2016, 2018","CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR","0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8",decreasing,0
22697949,global,"1994, 1996, 2000, 2004, 2006, 2007, 2008, 2009, 2010, 2012, 2013, 2015, 2016, 2018","CR, CR, CR, CR, CR, CR, CR, EN, EN, EN, EN, VU, VU, VU","0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.6, 0.6, 0.6, 0.6, 0.4, 0.4, 0.4",increasing,-0.019
22697954,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",decreasing,0
22697957,global,"1994, 1996, 2000, 2004, 2006, 2008, 2010, 2012, 2016, 2018","VU, VU, VU, VU, VU, VU, VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",increasing,0
22697963,global,"1994, 2000, 2004, 2008, 2010, 2012, 2014, 2016, 2018","LC, NT, NT, NT, NT, NT, NT, NT, NT","0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,0.00585
22697967,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",decreasing,0
22697970,global,"1994, 2000, 2004, 2005, 2007, 2008, 2012, 2016, 2018","LC, VU, VU, VU, VU, VU, VU, VU, VU","0, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",decreasing,0.01143
22697975,global,"1994, 1996, 2000, 2004, 2006, 2007, 2008, 2009, 2010, 2012, 2016, 2018","VU, VU, EN, EN, EN, EN, EN, VU, VU, VU, VU, VU","0.4, 0.4, 0.6, 0.6, 0.6, 0.6, 0.6, 0.4, 0.4, 0.4, 0.4, 0.4",increasing,-0.00283
22697984,global,"1994, 1996, 2000, 2004, 2008, 2010, 2012, 2016, 2018","VU, VU, VU, VU, VU, VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",increasing,0
22697987,global,"1994, 2000, 2004, 2006, 2008, 2010, 2011, 2012, 2016, 2018","LC, LC, LC, NT, NT, NT, VU, VU, VU, VU","0, 0, 0, 0.2, 0.2, 0.2, 0.4, 0.4, 0.4, 0.4",decreasing,0.02161
22697990,global,"1994, 1996, 2000, 2004, 2006, 2008, 2010, 2012, 2016, 2018","VU, VU, VU, VU, VU, VU, VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",stable,0
22697997,global,"1994, 2000, 2004, 2006, 2008, 2010, 2012, 2016, 2018","LC, VU, VU, VU, VU, VU, VU, VU, VU","0, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",decreasing,0.01173
22698001,global,"1994, 2000, 2004, 2006, 2007, 2008, 2010, 2012, 2016, 2018","LC, VU, EN, EN, EN, EN, EN, EN, EN, EN","0, 0.4, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6",decreasing,0.02076
22698005,global,"2000, 2004, 2006, 2008, 2010, 2012, 2016, 2018","VU, VU, VU, VU, VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",stable,0
22698012,global,"2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0",decreasing,0
22698017,global,"1994, 1996, 2000, 2004, 2006, 2007, 2008, 2010, 2012, 2016, 2018","VU, VU, VU, VU, VU, VU, VU, VU, VU, VU, EN","0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.6",decreasing,0.00396
22698020,global,"1994, 1996, 2000, 2004, 2006, 2007, 2008, 2009, 2010, 2012, 2013, 2015, 2016, 2017, 2018","CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR","0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8",decreasing,0
22698027,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",decreasing,0
22698030,global,"1994, 2000, 2004, 2006, 2008, 2010, 2012, 2016, 2018","LC, VU, VU, VU, VU, VU, VU, VU, VU","0, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",stable,0.01173
22698035,global,"1994, 1996, 2000, 2004, 2006, 2007, 2008, 2010, 2012, 2016, 2018","CR, CR, EN, EN, EN, EN, EN, EN, EN, EN, EN","0.8, 0.8, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6",decreasing,-0.00786
22698039,global,"1994, 2000, 2004, 2008, 2010, 2012, 2016, 2018","LC, NT, NT, NT, NT, NT, NT, NT","0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,0.00598
22698042,global,"1994, 1996, 2000, 2004, 2005, 2008, 2010, 2012, 2016, 2018","VU, VU, VU, VU, VU, VU, VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",increasing,0
22698049,global,"1994, 1996, 2000, 2004, 2006, 2007, 2008, 2009, 2010, 2012, 2015, 2016, 2018","CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR","0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8",increasing,-0
22698055,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",decreasing,0
22698062,global,"1994, 1996, 2000, 2004, 2005, 2008, 2010, 2012, 2016, 2018","CR, CR, CR, CR, EN, EN, EN, EN, EN, EN","0.8, 0.8, 0.8, 0.8, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6",stable,-0.01068
22698080,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",stable,0
