iucn_sid,iucn_rgn,pop_trend
132915,global,unknown
132916,global,unknown
132917,global,unknown
132918,global,unknown
132919,global,decreasing
132920,global,decreasing
132921,global,stable
132922,global,decreasing
132923,global,unknown
132924,global,unknown
132925,global,unknown
132926,global,unknown
132927,global,unknown
132928,global,unknown
132929,global,unknown
132930,global,decreasing
132931,global,decreasing
132932,global,decreasing
132933,global,decreasing
132934,global,unknown
132935,global,decreasing
132936,global,decreasing
132937,global,unknown
132938,global,unknown
132939,global,unknown
132940,global,decreasing
132941,global,unknown
132942,global,decreasing
132943,global,unknown
132944,global,decreasing
132945,global,unknown
132946,global,decreasing
132947,global,unknown
132948,global,decreasing
132949,global,unknown
132950,global,decreasing
132951,global,decreasing
132952,global,decreasing
132953,global,unknown
132954,global,unknown
132955,global,unknown
132956,global,unknown
132957,global,unknown
132958,global,unknown
132959,global,unknown
132960,global,unknown
132961,global,unknown
132962,global,unknown
132963,global,stable
132964,global,unknown
132965,global,unknown
132966,global,decreasing
132967,global,unknown
132968,global,unknown
132969,global,decreasing
132970,global,decreasing
132971,global,decreasing
132972,global,decreasing
132973,global,decreasing
132974,global,unknown
132975,global,unknown
132976,global,decreasing
132977,global,decreasing
132978,global,decreasing
132979,global,decreasing
132980,global,decreasing
132981,global,decreasing
132982,global,unknown
132983,global,decreasing
132984,global,decreasing
132985,global,unknown
132986,global,unknown
132987,global,decreasing
132988,global,decreasing
132989,global,unknown
132990,global,decreasing
132991,global,unknown
132992,global,decreasing
132993,global,unknown
132994,global,decreasing
132995,global,unknown
132996,global,unknown
132997,global,decreasing
132998,global,decreasing
132999,global,unknown
133000,global,decreasing
133001,global,unknown
133002,global,stable
133003,global,decreasing
133004,global,unknown
133005,global,decreasing
133006,global,stable
133007,global,decreasing
133008,global,unknown
133009,global,decreasing
133010,global,decreasing
133011,global,unknown
133012,global,decreasing
133013,global,decreasing
133014,global,unknown
133015,global,decreasing
133016,global,unknown
133017,global,decreasing
133018,global,decreasing
133019,global,unknown
133020,global,decreasing
133021,global,decreasing
133022,global,decreasing
133023,global,unknown
133024,global,unknown
133025,global,decreasing
133026,global,unknown
133027,global,stable
133028,global,unknown
133029,global,decreasing
133030,global,decreasing
133031,global,decreasing
133032,global,unknown
133033,global,decreasing
133034,global,unknown
133035,global,decreasing
133036,global,unknown
133037,global,unknown
133038,global,unknown
133039,global,unknown
133040,global,decreasing
133041,global,unknown
133042,global,stable
133043,global,unknown
133044,global,unknown
133045,global,unknown
133046,global,decreasing
133047,global,stable
133048,global,decreasing
133049,global,unknown
133050,global,decreasing
133051,global,unknown
133052,global,decreasing
133053,global,unknown
133054,global,unknown
133055,global,decreasing
133056,global,decreasing
133057,global,unknown
133058,global,unknown
133059,global,decreasing
133060,global,decreasing
133061,global,decreasing
133062,global,unknown
133063,global,unknown
133064,global,decreasing
133065,global,unknown
133066,global,decreasing
133067,global,decreasing
133068,global,decreasing
133069,global,decreasing
133070,global,decreasing
133071,global,decreasing
133072,global,decreasing
133073,global,unknown
133074,global,decreasing
133075,global,unknown
133076,global,unknown
133077,global,unknown
133078,global,decreasing
133079,global,decreasing
133080,global,decreasing
133081,global,decreasing
133082,global,unknown
133083,global,unknown
133084,global,decreasing
133085,global,stable
133086,global,decreasing
133087,global,decreasing
133088,global,decreasing
133089,global,unknown
133090,global,decreasing
133091,global,unknown
133092,global,decreasing
133093,global,unknown
133094,global,stable
133095,global,unknown
133096,global,unknown
133097,global,unknown
133098,global,unknown
133099,global,unknown
133100,global,unknown
133101,global,decreasing
133102,global,decreasing
133103,global,decreasing
133104,global,unknown
133105,global,unknown
133106,global,unknown
133107,global,unknown
133108,global,unknown
133109,global,unknown
133110,global,unknown
133111,global,decreasing
133112,global,decreasing
133113,global,decreasing
133114,global,unknown
133115,global,decreasing
133116,global,unknown
133117,global,decreasing
133118,global,unknown
133119,global,unknown
133120,global,decreasing
133121,global,stable
133122,global,decreasing
133123,global,unknown
133124,global,stable
133125,global,decreasing
133126,global,unknown
133127,global,unknown
133128,global,decreasing
133129,global,decreasing
133130,global,decreasing
133131,global,decreasing
133132,global,decreasing
133133,global,decreasing
133134,global,decreasing
133135,global,stable
133136,global,decreasing
133137,global,decreasing
133138,global,decreasing
133139,global,decreasing
133140,global,stable
133141,global,unknown
133142,global,decreasing
133143,global,decreasing
133144,global,stable
133145,global,unknown
133146,global,unknown
133147,global,unknown
133148,global,unknown
133149,global,unknown
133150,global,unknown
133151,global,decreasing
133152,global,unknown
133153,global,unknown
133154,global,unknown
133155,global,stable
133156,global,unknown
133157,global,unknown
133158,global,unknown
133159,global,decreasing
133160,global,decreasing
133161,global,decreasing
133162,global,decreasing
133163,global,unknown
133164,global,decreasing
133165,global,unknown
133166,global,unknown
133167,global,decreasing
133168,global,increasing
133169,global,unknown
133170,global,decreasing
133171,global,unknown
133172,global,unknown
133173,global,unknown
133174,global,decreasing
133175,global,decreasing
133176,global,stable
133177,global,unknown
133178,global,decreasing
133179,global,unknown
133180,global,unknown
133181,global,decreasing
133182,global,decreasing
133183,global,unknown
133184,global,unknown
133185,global,decreasing
133186,global,decreasing
133187,global,unknown
133188,global,decreasing
133189,global,decreasing
133190,global,decreasing
133191,global,decreasing
133192,global,unknown
133193,global,decreasing
133194,global,decreasing
133195,global,decreasing
133196,global,decreasing
133197,global,unknown
133198,global,unknown
133199,global,decreasing
133200,global,decreasing
133201,global,unknown
133202,global,decreasing
133203,global,decreasing
133204,global,decreasing
133205,global,unknown
133206,global,decreasing
133207,global,decreasing
133208,global,unknown
133209,global,decreasing
133210,global,decreasing
133211,global,unknown
133212,global,stable
133213,global,unknown
133214,global,decreasing
133215,global,unknown
133216,global,unknown
133217,global,stable
133218,global,unknown
133219,global,unknown
133220,global,decreasing
133221,global,unknown
133222,global,unknown
133223,global,decreasing
133224,global,stable
133225,global,unknown
133226,global,unknown
133227,global,decreasing
133228,global,unknown
133229,global,decreasing
133230,global,unknown
133231,global,decreasing
133232,global,unknown
133233,global,decreasing
133234,global,stable
133235,global,unknown
133236,global,unknown
133237,global,stable
133238,global,decreasing
133239,global,decreasing
133240,global,unknown
133241,global,unknown
133242,global,unknown
133243,global,decreasing
133244,global,decreasing
133245,global,decreasing
133246,global,unknown
133247,global,decreasing
133248,global,decreasing
133249,global,unknown
133250,global,decreasing
133251,global,unknown
133252,global,decreasing
133253,global,unknown
133254,global,decreasing
133255,global,stable
133256,global,unknown
133257,global,stable
133258,global,unknown
133259,global,decreasing
133260,global,decreasing
133261,global,unknown
133262,global,unknown
133263,global,decreasing
133264,global,unknown
133265,global,decreasing
133266,global,decreasing
133267,global,decreasing
133268,global,unknown
133269,global,unknown
133270,global,unknown
133271,global,decreasing
133272,global,unknown
133273,global,decreasing
133274,global,decreasing
133275,global,unknown
133276,global,decreasing
133277,global,unknown
133278,global,decreasing
133279,global,decreasing
133280,global,decreasing
133281,global,stable
133282,global,decreasing
133283,global,decreasing
133284,global,decreasing
133285,global,decreasing
133286,global,unknown
133287,global,decreasing
133288,global,unknown
133289,global,unknown
133290,global,decreasing
133291,global,decreasing
133292,global,decreasing
133293,global,decreasing
133294,global,decreasing
133295,global,unknown
133296,global,unknown
133297,global,unknown
133298,global,decreasing
133299,global,unknown
133300,global,unknown
133301,global,unknown
133302,global,decreasing
133303,global,decreasing
133304,global,unknown
133305,global,decreasing
133306,global,decreasing
133307,global,decreasing
133308,global,unknown
