iucn_sid,poly_range_km2
133112,7296281.962
133113,5640720.164
133114,1928070.875
133115,9708145.632
133116,11206881.881
133117,5299849.724
133118,8960290.187
133119,75938.659
133120,18451315.504
133121,16162.41
133122,1910485.165
133123,6335112.151
133124,2387632.974
133125,4725449.694
133126,8575264.054
133127,18138125.294
133128,923493.756
133129,14880589.401
133130,48528.878
133131,8910650.775
133132,14766789.088
133133,7148480.479
133134,2549983.266
133135,4785955.032
133136,7767745.738
133137,2802976.102
133138,432628.435
133139,17177152.609
133140,14114650.863
133141,861778.831
133142,380404.854
133143,304700.009
133144,2283916.721
133145,5308054.202
133146,18454915.098
133147,14368227.534
133148,16357947.747
133149,830835.574
133150,7500994.156
133151,645061.054
133152,13340068.495
133153,2957921.378
133154,5003967.917
133155,2596260.029
133156,15347035.123
133157,15103854.508
133158,16165847.204
133159,1176762.321
133160,17962392.804
133161,11149777.81
133162,8332820.942
133163,665325.53
133164,4982614.897
133165,2831403.008
133166,14018938.526
133167,21396701.624
133168,1671492.209
133169,866946.99
133170,203653.042
133171,16354751.457
133172,19920685.705
133173,11295272.397
133174,2542450.961
133175,18645855.645
133176,14759358.742
133177,12734420.946
133178,14227716.241
133179,11515649.314
133180,7796790.571
133182,11107429.07
133183,18119569.076
133184,410023.608
133185,6296598.015
133186,16702624.765
133187,3186590.499
133188,16176690.666
133189,6354193.859
133190,6538917.997
133191,6887264.095
133192,11440076.102
133193,19092290.871
133194,15705331.541
133195,2023281.547
133196,13278613.884
133197,22130527.2
133198,10442809.909
133199,15440.267
133200,18311990.667
133201,18917657.759
133202,386986.481
133203,6281313.724
133204,2243772.085
133205,7865151.911
133206,780894.85
133207,19188699.015
133208,20294316.185
133209,18409399.694
133210,19943705.902
133211,5216905.958
133212,2451241.131
133213,8099632.96
133214,2643484.178
133215,18030387.66
133216,21182715.332
133217,2417635.82
133218,4484839.03
133219,6390563.647
133220,15846288.612
133221,41999.11
133222,21497054.584
133223,13859110.158
133224,2637840.585
133225,10032836.372
133226,4874655.956
133227,15130618.787
133228,1236602.346
133229,382177.049
133230,17108300.922
133231,17530962.428
133232,7868443.065
133233,7156809.077
133234,866946.99
133235,3968854.751
133236,7867869.195
133237,3936542.878
133238,17697990.62
133239,19891335.362
133240,19967454.948
133241,75938.659
133242,14798040.533
133243,10327424.397
133244,19703261.979
133245,16567927.038
133246,19844079.327
133247,4241823.97
133248,19049648.711
133249,9006886.768
133250,19329566.653
133251,1030296.295
133252,8414635.317
133253,13552221.269
133254,49270.876
133255,2464703.703
133256,17757227.941
133257,2496278.589
133258,18780841.879
133259,11138922.646
133260,14189780.674
133261,6494132.206
133262,14133328.2
133263,1895610.996
133264,1394523.838
133265,5299529.228
133266,18541822.128
133267,15818456.341
133268,5339521.628
133269,9518824.529
133270,1262140.1
133271,14715061.239
133272,14777524.322
133273,12793762.362
133274,6297783.591
133275,167281.834
133276,1600056.27
133277,17295153.19
133278,16533916.845
133279,10135357.608
133280,1712737.607
133281,2556471.447
133282,98376.239
133283,6300473.133
133284,21054195.09
133285,6324646.586
133286,41999.11
133287,2076986.775
133288,2882236.436
133289,7836664.609
133290,19919794.161
133291,7271309.804
133292,20129486.1
133293,20684257.939
133294,7060895.269
133295,1336447.798
133296,6277278.246
133297,432692.753
133298,19348844.813
133299,14414514.913
133300,1445996.92
133301,4606948.171
133302,14360272.633
133303,15629893.967
133304,15971860.331
133305,1837598.869
133306,10006021.826
133307,14698368.518
133308,16372343.72
133309,386219.332
133310,6989267.554
133311,1380865.235
133312,5244478.885
133313,19051736.775
133314,20548306.926
133315,17382133.198
133316,6571806.178
133317,12766074.192
133318,5045793.742
133319,19256074.473
133320,12902411.531
133321,9989093.143
133322,14183176.833
133323,11149039.685
133324,16908562.556
133325,19188589.442
133326,7840283.136
133327,8449477.825
133328,54245.865
133329,14424720.669
133330,14123704.191
133331,364813.284
133332,17568145.287
133333,14665405.183
133334,535572.535
133335,4611780.364
133336,432652.448
133337,18750562.457
133338,10936886.351
133339,3054484.177
133340,849557.137
133341,13727404.004
133342,776862.824
133343,18675430.506
133344,432770.089
133345,20843150.78
133346,304580.665
133347,1277850.463
133348,1012072.966
133349,382177.049
133350,29712.07
133351,20280624.187
133352,5026820.023
133353,10881214.006
133354,18016751.555
133355,4886362.172
133356,2403920.066
133357,7822027.129
133358,6748908.219
133359,13787352.319
133360,13829039.174
133361,4660409.52
133362,757088.995
133363,75938.659
133364,6786612.017
133365,18399667.9
133366,12032721.249
133367,7157957.001
133368,5907719.176
133369,270713.51
133370,3842641.455
133371,18450645.551
133372,5281437.409
133373,2542178.156
133374,10666282.979
133375,10043272.514
133376,13320154.887
133377,2442988.336
133378,19313305.517
133379,4612388.432
133380,12016048.97
133381,2449976.927
133382,20161607.438
133383,10912384.914
133384,2343599.57
133385,99321.732
133386,11186039.894
133387,11526469.769
133388,810714.087
133389,2594058.27
133390,18553976.456
133391,6637419.853
133392,14049571.763
133393,8439498.281
133394,5971118.833
133395,3407953.222
133396,6300115.875
133397,8859689.745
133398,21300243.166
133399,417610.254
133400,2470083.115
133401,5174314.209
133402,2568399.578
133403,17474533.606
133404,9656731.071
133405,12735440.721
133406,19954881.507
133407,20790014.492
133408,14851453.478
133409,6382883.73
133410,19323034.467
133411,12712425.059
133412,2036668.635
133413,16851061.684
133414,19673197.576
133415,11252649.842
133416,975778.933
133417,14080186.711
133418,19351071.194
133419,19327558.098
133420,15723792.524
133421,35112.256
133422,11887393.145
133423,18176831.165
133424,14204059.025
133425,2594624.069
133426,12078723.124
133427,5616769.703
133428,19949162.099
133429,12319822.236
133430,2782244.188
133431,9240608.389
133432,11610662.799
133433,13278280.721
133434,6339349.188
133435,6703872.56
133436,2407226.828
133437,13830358.801
133438,16788519.724
133439,1208899.316
133440,18477854.407
133441,2716519.232
133442,18037835.518
133443,12447853.361
133444,540285.267
133445,1325384.251
133446,1462335.194
133447,6001414.826
133448,18168746.299
133449,1099051.142
133450,9454486.97
133451,18591980.827
133452,19116705.111
133453,15900638.296
133454,15500.471
133455,51995.048
133456,17204381.949
133457,2424290.035
133458,19787782.57
133459,17695410.525
133460,6049367.701
133461,410023.608
133462,68564.976
133463,16471137.238
133464,6237738.801
133466,415827.021
133467,5026798.056
133468,20772782.809
133469,1276520.148
133470,11609976.166
133471,2968628.574
133472,8739315.334
133473,14213850.236
133474,16991217.693
133475,6103232.529
133476,1044615.107
133477,410023.608
133478,19426573.099
133479,19123803.45
133480,1927461.079
133481,6147944.255
133482,19036938.051
133483,8923314.932
133484,2865323.299
133485,11875851.209
133486,10753742.409
133487,41999.11
133488,1732362.32
133489,5428589.943
133490,893291.427
133491,7814119.574
133492,18326836.322
133493,15407737.6
133494,6863852.734
133495,12896199.396
133496,17374398.277
133497,8728090.232
133498,17843571.296
133499,4808317.449
133500,2539601.418
133501,5259696.59
133502,20905050.694
133503,19061872.186
133504,2534370.872
133505,1531765.033
133506,560837.554
133507,48528.878
133508,8345195.973
133509,12805420.554
133510,16066134.193
133511,1733550.339
133512,242398.82
133513,14613117.08
133514,41999.11
133515,5557860.916
