iucn_sid,sciname,main_common_name,published_year,old_cat,criteria,cat,cat_score,iucn_version
162928,Octopoteuthis nielseni,NA,2014,DD,NA,DD,NA,2019-2
162929,Muusoctopus normani,NA,2018,LC,NA,LC,0,2019-2
162930,Gonatopsis borealis,NA,2014,LC,NA,LC,0,2019-2
162931,Gonatus madokai,NA,2014,LC,NA,LC,0,2019-2
162932,Octopus nanus,NA,2018,DD,NA,DD,NA,2019-2
162933,Abraliopsis pacificus,NA,2014,LC,NA,LC,0,2019-2
162934,Histioteuthis eltaninae,NA,2014,LC,NA,LC,0,2019-2
162935,Pickfordiateuthis pulchella,Grass Squid,2019,DD,NA,DD,NA,2019-2
162937,Eledone palari,NA,2018,LC,NA,LC,0,2019-2
162938,Stigmatoteuthis hoylei,NA,2014,LC,NA,LC,0,2019-2
162939,Cirrothauma magna,NA,2014,DD,NA,DD,NA,2019-2
162940,Uroteuthis bengalensis,Bengal Squid,2019,DD,NA,DD,NA,2019-2
162941,Cranchia scabra,NA,2014,LC,NA,LC,0,2019-2
162942,Taonius pavo,NA,2014,LC,NA,LC,0,2019-2
162943,Mastigoteuthis famelica,NA,2014,DD,NA,DD,NA,2019-2
162944,Brachioteuthis behnii,NA,2014,DD,NA,DD,NA,2019-2
162945,Histioteuthis meleagroteuthis,NA,2014,LC,NA,LC,0,2019-2
162946,Opisthoteuthis medusoides,NA,2014,DD,NA,DD,NA,2019-2
162948,Liguriella podophthalma,NA,2014,DD,NA,DD,NA,2019-2
162950,Gonatus onyx,NA,2014,LC,NA,LC,0,2019-2
162951,Abraliopsis chuni,NA,2014,DD,NA,DD,NA,2019-2
162952,Grimalditeuthis bonplandi,NA,2014,LC,NA,LC,0,2019-2
162953,Galiteuthis pacifica,NA,2014,LC,NA,LC,0,2019-2
162954,Hapalochlaena maculosa,NA,2018,LC,NA,LC,0,2019-2
162955,Bathypolypus arcticus,NA,2018,LC,NA,LC,0,2019-2
162956,Brachioteuthis picta,NA,2014,LC,NA,LC,0,2019-2
162957,Bathypolypus valdiviae,NA,2018,LC,NA,LC,0,2019-2
162958,Enteroctopus dofleini,NA,2018,LC,NA,LC,0,2019-2
162959,Dosidicus gigas,Humboldt Squid,2014,DD,NA,DD,NA,2019-2
162961,Joubiniteuthis portieri,NA,2014,LC,NA,LC,0,2019-2
162962,Planctoteuthis oligobessa,NA,2014,DD,NA,DD,NA,2019-2
162963,Muusoctopus pseudonymus,NA,2018,DD,NA,DD,NA,2019-2
162964,Enoploteuthis semilineata,NA,2014,DD,NA,DD,NA,2019-2
162966,Graneledone challengeri,NA,2018,LC,NA,LC,0,2019-2
162967,Opisthoteuthis robsoni,NA,2014,DD,NA,DD,NA,2019-2
162968,Enoploteuthis anapsis,NA,2014,LC,NA,LC,0,2019-2
162969,Uroteuthis duvauceli,Indian Squid,2019,DD,NA,DD,NA,2019-2
162971,Amphioctopus neglectus,NA,2018,LC,NA,LC,0,2019-2
162972,Megalocranchia oceanica,NA,2014,DD,NA,DD,NA,2019-2
162973,Pickfordiateuthis vossi,Voss' Grass Squid,2019,DD,NA,DD,NA,2019-2
162974,Octopus mimus,NA,2018,LC,NA,LC,0,2019-2
162975,Hapalochlaena fasciata,NA,2018,LC,NA,LC,0,2019-2
162976,Octopus campbelli,NA,2018,DD,NA,DD,NA,2019-2
162977,Cirroctopus glacialis,NA,2014,LC,NA,LC,0,2019-2
162978,Amphioctopus siamensis,NA,2018,LC,NA,LC,0,2019-2
162979,Teuthowenia maculata,NA,2014,DD,NA,DD,NA,2019-2
162980,Mastigoteuthis psychrophila,NA,2014,DD,NA,DD,NA,2019-2
162981,Uroteuthis edulis,Swordtip Squid,2019,DD,NA,DD,NA,2019-2
162982,Abraliopsis tui,NA,2014,DD,NA,DD,NA,2019-2
162983,Octopus verrucosus,NA,2018,DD,NA,DD,NA,2019-2
162984,Abralia heminuchalis,NA,2014,DD,NA,DD,NA,2019-2
162985,Doryteuthis ocula,Bigeye Inshore Squid,2019,DD,NA,DD,NA,2019-2
162986,Japetella diaphana,NA,2014,LC,NA,LC,0,2019-2
162987,Euaxoctopus scalenus,NA,2018,DD,NA,DD,NA,2019-2
162988,Vitreledonella richardi,NA,2014,LC,NA,LC,0,2019-2
162989,Octopus wolfi,NA,2018,LC,NA,LC,0,2019-2
162990,Eledone caparti,NA,2018,DD,NA,DD,NA,2019-2
162991,Octopus pallidus,NA,2018,LC,NA,LC,0,2019-2
162992,Grimpella thaumastocheir,NA,2018,DD,NA,DD,NA,2019-2
162994,Gonatus californiensis,NA,2014,LC,NA,LC,0,2019-2
162996,Onykia carriboea,NA,2014,DD,NA,DD,NA,2019-2
162997,Doryteuthis opalescens,Opalescent Inshore Squid,2019,LC,NA,LC,0,2019-2
162998,Octopus pumilus,NA,2018,DD,NA,DD,NA,2019-2
162999,Notonykia africanae,NA,2014,DD,NA,DD,NA,2019-2
163002,Illex illecebrosus,NA,2014,LC,NA,LC,0,2019-2
163003,Opisthoteuthis japonica,NA,2014,DD,NA,DD,NA,2019-2
163004,Octopus bimaculoides,NA,2018,LC,NA,LC,0,2019-2
163006,Octopus maya,NA,2018,LC,NA,LC,0,2019-2
163007,Bathyteuthis bacidifera,NA,2014,DD,NA,DD,NA,2019-2
