iucn_sid,year,cat_ts,cat_ts_score,iucn_version
22698393,2005,CR,0.8,2019-2
22698393,2007,CR,0.8,2019-2
22698393,2008,CR,0.8,2019-2
22698393,2009,CR,0.8,2019-2
22698393,2010,VU,0.4,2019-2
22698393,2012,VU,0.4,2019-2
22698393,2016,VU,0.4,2019-2
22698393,2018,VU,0.4,2019-2
22698398,1988,LC,0,2019-2
22698398,1994,NT,0.2,2019-2
22698398,2000,VU,0.4,2019-2
22698398,2003,VU,0.4,2019-2
22698398,2004,VU,0.4,2019-2
22698398,2005,VU,0.4,2019-2
22698398,2007,VU,0.4,2019-2
22698398,2008,VU,0.4,2019-2
22698398,2010,VU,0.4,2019-2
22698398,2012,VU,0.4,2019-2
22698398,2013,EN,0.6,2019-2
22698398,2016,EN,0.6,2019-2
22698398,2018,EN,0.6,2019-2
22698425,2000,NT,0.2,2019-2
22698425,2003,EN,0.6,2019-2
22698425,2004,EN,0.6,2019-2
22698425,2005,EN,0.6,2019-2
22698425,2007,EN,0.6,2019-2
22698425,2008,EN,0.6,2019-2
22698425,2010,EN,0.6,2019-2
22698425,2012,EN,0.6,2019-2
22698425,2016,EN,0.6,2019-2
22698425,2017,EN,0.6,2019-2
22698425,2018,EN,0.6,2019-2
22698431,1988,LC,0,2019-2
22698431,1994,NT,0.2,2019-2
22698431,2000,VU,0.4,2019-2
22698431,2003,EN,0.6,2019-2
22698431,2004,EN,0.6,2019-2
22698431,2005,EN,0.6,2019-2
22698431,2007,EN,0.6,2019-2
22698431,2008,EN,0.6,2019-2
22698431,2010,EN,0.6,2019-2
22698431,2012,EN,0.6,2019-2
22698431,2016,EN,0.6,2019-2
22698431,2017,EN,0.6,2019-2
22698431,2018,EN,0.6,2019-2
22698436,1988,LC,0,2019-2
22698436,1994,LC,0,2019-2
22698436,2000,LC,0,2019-2
22698436,2004,LC,0,2019-2
22698436,2008,LC,0,2019-2
22698436,2009,LC,0,2019-2
22698436,2012,LC,0,2019-2
22698436,2016,LC,0,2019-2
22698436,2018,LC,0,2019-2
22698442,1988,LC,0,2019-2
22698448,1988,LC,0,2019-2
22698448,1994,LC,0,2019-2
22698448,2000,NT,0.2,2019-2
22698448,2003,NT,0.2,2019-2
22698448,2004,NT,0.2,2019-2
22698448,2005,NT,0.2,2019-2
22698448,2008,NT,0.2,2019-2
22698448,2010,NT,0.2,2019-2
22698448,2012,NT,0.2,2019-2
22698448,2016,NT,0.2,2019-2
22698448,2018,NT,0.2,2019-2
22698453,1988,LC,0,2019-2
22698453,1994,LC,0,2019-2
22698453,2000,LC,0,2019-2
22698453,2004,LC,0,2019-2
22698453,2008,LC,0,2019-2
22698453,2009,LC,0,2019-2
22698453,2012,LC,0,2019-2
22698453,2016,LC,0,2019-2
22698453,2018,LC,0,2019-2
22698459,1988,LC,0,2019-2
22698459,1994,LC,0,2019-2
22698459,2000,LC,0,2019-2
22698459,2004,LC,0,2019-2
22698459,2008,LC,0,2019-2
22698459,2009,LC,0,2019-2
22698459,2012,LC,0,2019-2
22698459,2016,LC,0,2019-2
22698459,2018,LC,0,2019-2
22698465,1988,LC,0,2019-2
22698465,1994,LC,0,2019-2
22698465,2000,LC,0,2019-2
22698465,2004,LC,0,2019-2
22698465,2008,LC,0,2019-2
