iucn_sid,pop_trend,iucn_version,iucn_rgn
132787,unknown,2017-3,global
132788,stable,2017-3,global
132789,unknown,2017-3,global
132790,unknown,2017-3,global
132795,unknown,2017-3,global
132799,decreasing,2017-3,global
132802,unknown,2017-3,global
132803,unknown,2017-3,global
132804,unknown,2017-3,global
132805,unknown,2017-3,global
132806,decreasing,2017-3,global
132807,unknown,2017-3,global
132808,unknown,2017-3,global
132810,decreasing,2017-3,global
132811,unknown,2017-3,global
132815,unknown,2017-3,global
132817,decreasing,2017-3,global
132818,decreasing,2017-3,global
132819,decreasing,2017-3,global
132822,stable,2017-3,global
132823,stable,2017-3,global
132825,unknown,2017-3,global
132826,decreasing,2017-3,global
132827,stable,2017-3,global
132829,unknown,2017-3,global
132830,stable,2017-3,global
132859,unknown,2017-3,global
132860,unknown,2017-3,global
132866,decreasing,2017-3,global
132869,decreasing,2017-3,global
132871,unknown,2017-3,global
132872,decreasing,2017-3,global
132874,unknown,2017-3,global
132876,unknown,2017-3,global
132877,unknown,2017-3,global
132878,decreasing,2017-3,global
132879,unknown,2017-3,global
132880,unknown,2017-3,global
132881,unknown,2017-3,global
132883,decreasing,2017-3,global
132884,stable,2017-3,global
132885,unknown,2017-3,global
132887,unknown,2017-3,global
132888,decreasing,2017-3,global
132889,unknown,2017-3,global
132890,unknown,2017-3,global
132893,decreasing,2017-3,global
132894,decreasing,2017-3,global
132895,unknown,2017-3,global
132899,decreasing,2017-3,global
132900,unknown,2017-3,global
132901,unknown,2017-3,global
132903,unknown,2017-3,global
132904,unknown,2017-3,global
132905,unknown,2017-3,global
132907,unknown,2017-3,global
132909,decreasing,2017-3,global
132910,decreasing,2017-3,global
132911,unknown,2017-3,global
132913,decreasing,2017-3,global
132916,unknown,2017-3,global
132917,unknown,2017-3,global
132922,decreasing,2017-3,global
132923,unknown,2017-3,global
132924,unknown,2017-3,global
132925,unknown,2017-3,global
132927,unknown,2017-3,global
132928,unknown,2017-3,global
132929,unknown,2017-3,global
132931,decreasing,2017-3,global
132933,decreasing,2017-3,global
132935,decreasing,2017-3,global
132936,decreasing,2017-3,global
132937,unknown,2017-3,global
132940,decreasing,2017-3,global
132942,decreasing,2017-3,global
132944,decreasing,2017-3,global
132947,unknown,2017-3,global
132948,decreasing,2017-3,global
132953,unknown,2017-3,global
132956,unknown,2017-3,global
132957,unknown,2017-3,global
132958,unknown,2017-3,global
132960,unknown,2017-3,global
132962,unknown,2017-3,global
132963,stable,2017-3,global
132967,unknown,2017-3,global
132968,unknown,2017-3,global
132969,decreasing,2017-3,global
132970,decreasing,2017-3,global
132972,decreasing,2017-3,global
132974,unknown,2017-3,global
132975,unknown,2017-3,global
132976,decreasing,2017-3,global
132978,decreasing,2017-3,global
132979,decreasing,2017-3,global
132980,decreasing,2017-3,global
132981,decreasing,2017-3,global
132983,decreasing,2017-3,global
132984,decreasing,2017-3,global
132985,unknown,2017-3,global
132986,unknown,2017-3,global
132987,decreasing,2017-3,global
132988,decreasing,2017-3,global
132990,decreasing,2017-3,global
132991,unknown,2017-3,global
132992,decreasing,2017-3,global
132993,unknown,2017-3,global
132995,unknown,2017-3,global
132996,unknown,2017-3,global
132997,decreasing,2017-3,global
132998,decreasing,2017-3,global
133001,unknown,2017-3,global
133002,stable,2017-3,global
133003,decreasing,2017-3,global
133006,stable,2017-3,global
133008,unknown,2017-3,global
133009,decreasing,2017-3,global
133010,decreasing,2017-3,global
133011,unknown,2017-3,global
133012,decreasing,2017-3,global
133013,decreasing,2017-3,global
133015,decreasing,2017-3,global
133016,unknown,2017-3,global
133019,unknown,2017-3,global
133020,decreasing,2017-3,global
133021,decreasing,2017-3,global
133023,unknown,2017-3,global
133024,unknown,2017-3,global
133025,decreasing,2017-3,global
133026,unknown,2017-3,global
133027,stable,2017-3,global
133028,unknown,2017-3,global
133029,decreasing,2017-3,global
133031,decreasing,2017-3,global
133032,unknown,2017-3,global
133033,decreasing,2017-3,global
133034,unknown,2017-3,global
133038,unknown,2017-3,global
133039,unknown,2017-3,global
133041,unknown,2017-3,global
133042,stable,2017-3,global
133043,unknown,2017-3,global
133044,unknown,2017-3,global
133045,unknown,2017-3,global
133046,decreasing,2017-3,global
133047,stable,2017-3,global
133048,decreasing,2017-3,global
133049,unknown,2017-3,global
133053,unknown,2017-3,global
133054,unknown,2017-3,global
133055,decreasing,2017-3,global
133056,decreasing,2017-3,global
133057,unknown,2017-3,global
133058,unknown,2017-3,global
133059,decreasing,2017-3,global
133060,decreasing,2017-3,global
133062,unknown,2017-3,global
