loiczid,n_spp,mean_risk,var_risk,log_mean_risk
13902,2,0,0,NA
13905,2,0,0,NA
13906,2,0,0,NA
13907,2,0,0,NA
13908,2,0,0,NA
13909,1,0,NA,NA
13910,1,0,NA,NA
14001,1,0,NA,NA
14002,1,0,NA,NA
14003,1,0,NA,NA
14004,2,0,0,NA
14005,2,0,0,NA
14006,2,0,0,NA
14007,2,0,0,NA
14008,6,0,0,NA
14009,6,0,0,NA
14010,4,0,0,NA
14011,6,0,0,NA
14012,7,0,0,NA
14013,6,0,0,NA
14014,4,0,0,NA
14015,5,0,0,NA
14016,3,0,0,NA
14017,4,0,0,NA
14018,4,0,0,NA
14019,5,0,0,NA
14020,4,0,0,NA
14021,5,0,0,NA
14022,4,0,0,NA
14023,4,0,0,NA
14024,4,0,0,NA
14025,2,0,0,NA
14026,4,0,0,NA
14027,2,0,0,NA
14028,2,0,0,NA
14029,1,0,NA,NA
14030,1,0,NA,NA
14031,1,0,NA,NA
14032,1,0,NA,NA
14033,1,0,NA,NA
14034,1,0,NA,NA
14039,1,0,NA,NA
14040,1,0,NA,NA
14041,1,0,NA,NA
14043,2,0,0,NA
14044,2,0,0,NA
14045,2,0,0,NA
14046,3,0,0,NA
14047,3,0,0,NA
14048,3,0,0,NA
14049,5,0,0,NA
14050,5,0,0,NA
14051,4,0,0,NA
14052,4,0,0,NA
14053,4,0,0,NA
14054,4,0,0,NA
14055,4,0,0,NA
14056,4,0,0,NA
14057,3,0,0,NA
14058,4,0,0,NA
14059,3,0,0,NA
14060,5,0,0,NA
14061,5,0,0,NA
14062,5,0,0,NA
14063,7,0,0,NA
14064,10,0,0,NA
14065,9,0,0,NA
14066,9,0,0,NA
14067,10,0,0,NA
14068,9,0,0,NA
14069,7,0,0,NA
14070,6,0,0,NA
14071,5,0,0,NA
14072,7,0,0,NA
14073,5,0,0,NA
14074,5,0,0,NA
14075,4,0,0,NA
14076,5,0,0,NA
14077,5,0,0,NA
14078,5,0,0,NA
14079,5,0,0,NA
14080,5,0,0,NA
14081,3,0,0,NA
14082,3,0,0,NA
14083,2,0,0,NA
14084,4,0,0,NA
14085,4,0,0,NA
14086,3,0,0,NA
14087,3,0,0,NA
14088,3,0,0,NA
14089,3,0,0,NA
14090,3,0,0,NA
14091,3,0,0,NA
14092,4,0,0,NA
14093,7,0,0,NA
14094,8,0,0,NA
14095,4,0,0,NA
14096,5,0,0,NA
14097,5,0,0,NA
14098,4,0,0,NA
14099,4,0,0,NA
14100,3,0,0,NA
14101,4,0,0,NA
14102,4,0,0,NA
14103,5,0,0,NA
14104,5,0,0,NA
14105,2,0,0,NA
14106,2,0,0,NA
14107,2,0,0,NA
14108,2,0,0,NA
14109,1,0,NA,NA
14110,2,0,0,NA
