iucn_sid,sciname,lme_id,cat_score,cat_current,rgns,cat_score_global
22683027,Alcedo atthis,20,0.4,VU,europe,0
22683027,Alcedo atthis,21,0.4,VU,europe,0
22683027,Alcedo atthis,22,0.4,VU,europe,0
22683027,Alcedo atthis,23,0.4,VU,europe,0
22683027,Alcedo atthis,24,0.4,VU,europe,0
22683027,Alcedo atthis,25,0.4,VU,europe,0
22683027,Alcedo atthis,26,0.4,VU,europe,0
22683027,Alcedo atthis,59,0.4,VU,europe,0
22683645,Ceryle rudis,20,0.6,EN,europe,0
22683645,Ceryle rudis,21,0.6,EN,europe,0
22683645,Ceryle rudis,22,0.6,EN,europe,0
22683645,Ceryle rudis,23,0.6,EN,europe,0
22683645,Ceryle rudis,24,0.6,EN,europe,0
22683645,Ceryle rudis,25,0.6,EN,europe,0
22683645,Ceryle rudis,26,0.6,EN,europe,0
22683645,Ceryle rudis,59,0.6,EN,europe,0
22692146,Grus grus,20,0,LC,europe,0
22692146,Grus grus,21,0,LC,europe,0
22692146,Grus grus,22,0,LC,europe,0
22692146,Grus grus,23,0,LC,europe,0
22692146,Grus grus,24,0,LC,europe,0
22692146,Grus grus,25,0,LC,europe,0
22692146,Grus grus,26,0,LC,europe,0
22692146,Grus grus,59,0,LC,europe,0
22692667,Zapornia pusilla,20,0,LC,europe,0
22692667,Zapornia pusilla,21,0,LC,europe,0
22692667,Zapornia pusilla,22,0,LC,europe,0
22692667,Zapornia pusilla,23,0,LC,europe,0
22692667,Zapornia pusilla,24,0,LC,europe,0
22692667,Zapornia pusilla,25,0,LC,europe,0
22692667,Zapornia pusilla,26,0,LC,europe,0
22692667,Zapornia pusilla,59,0,LC,europe,0
22692913,Fulica atra,20,0.2,NT,europe,0
22692913,Fulica atra,21,0.2,NT,europe,0
22692913,Fulica atra,22,0.2,NT,europe,0
22692913,Fulica atra,23,0.2,NT,europe,0
22692913,Fulica atra,24,0.2,NT,europe,0
22692913,Fulica atra,25,0.2,NT,europe,0
22692913,Fulica atra,26,0.2,NT,europe,0
22692913,Fulica atra,59,0.2,NT,europe,0
22693097,Gallinago gallinago,20,0,LC,europe,0
22693097,Gallinago gallinago,21,0,LC,europe,0
22693097,Gallinago gallinago,22,0,LC,europe,0
22693097,Gallinago gallinago,23,0,LC,europe,0
22693097,Gallinago gallinago,24,0,LC,europe,0
22693097,Gallinago gallinago,25,0,LC,europe,0
22693097,Gallinago gallinago,26,0,LC,europe,0
22693097,Gallinago gallinago,59,0,LC,europe,0
22693133,Lymnocryptes minimus,20,0,LC,europe,0
22693133,Lymnocryptes minimus,21,0,LC,europe,0
22693133,Lymnocryptes minimus,22,0,LC,europe,0
22693133,Lymnocryptes minimus,23,0,LC,europe,0
22693133,Lymnocryptes minimus,24,0,LC,europe,0
