iucn_sid,sciname,main_common_name,published_year,old_cat,criteria,cat,cat_score,iucn_version
190765,Scarus persicus,Gulf Parrotfish,2012,LC,NA,LC,0,2018-1
190766,Scarus caudofasciatus,Redbarred Parrotfish,2012,LC,NA,LC,0,2018-1
190767,Chlorurus rhakoura,NA,2012,LC,NA,LC,0,2018-1
190768,Sparisoma atomarium,Greenblotch Parrotfish,2012,LC,NA,LC,0,2018-1
190769,Scarus longipinnis,Highfin Parrotfish,2012,LC,NA,LC,0,2018-1
190770,Sparisoma tuiupiranga,NA,2012,LC,NA,LC,0,2018-1
190915,Brachioteuthis linkovskyi,NA,2014,DD,NA,DD,NA,2018-1
190917,Slosarczykovia circumantarctica,NA,2014,LC,NA,LC,0,2018-1
190918,Asperoteuthis nesisi,NA,2014,DD,NA,DD,NA,2018-1
190919,Planctoteuthis exopthalmica,NA,2014,DD,NA,DD,NA,2018-1
190920,Planctoteuthis lippula,NA,2014,DD,NA,DD,NA,2018-1
190921,Leachia dislocata,NA,2014,DD,NA,DD,NA,2018-1
190922,Leachia lemur,NA,2014,DD,NA,DD,NA,2018-1
190923,Megalocranchia fisheri,NA,2014,DD,NA,DD,NA,2018-1
190925,Pholidoteuthis massyae,NA,2014,LC,NA,LC,0,2018-1
190927,Narrowteuthis nesisi,NA,2014,DD,NA,DD,NA,2018-1
190928,Onychoteuthis aequimanus,NA,2014,DD,NA,DD,NA,2018-1
190929,Onychoteuthis lacrima,NA,2014,DD,NA,DD,NA,2018-1
190930,Onychoteuthis prolata,NA,2014,DD,NA,DD,NA,2018-1
190931,Onychoteuthis bergii,NA,2014,DD,NA,DD,NA,2018-1
190932,Onychoteuthis mollis,NA,2014,DD,NA,DD,NA,2018-1
190933,Onykia aequatorialis,NA,2014,DD,NA,DD,NA,2018-1
190934,Kondakovia nigmatullini,NA,2014,DD,NA,DD,NA,2018-1
190935,Notonykia nesisi,NA,2014,DD,NA,DD,NA,2018-1
190936,Chtenopteryx canariensis,NA,2014,DD,NA,DD,NA,2018-1
190949,Opisthoteuthis dongshaensis,NA,2014,DD,NA,DD,NA,2018-1
190950,Pterygioteuthis hoylei,NA,2014,DD,NA,DD,NA,2018-1
190951,Rossia pacifica,NA,2012,DD,NA,DD,NA,2018-1
190957,Lophogobius cyprinoides,Crested Goby,2015,LC,NA,LC,0,2018-1
190958,Gobiosoma robustum,Code Goby,2015,LC,NA,LC,0,2018-1
190959,Bathygobius mystacium,Island Frillfin,2015,LC,NA,LC,0,2018-1
190960,Ctenogobius stigmaticus,Marked Goby,2015,LC,NA,LC,0,2018-1
190963,Lythrypnus crocodilus,Mahogany Goby,2015,LC,NA,LC,0,2018-1
190964,Elacatinus tenox,Slaty Goby,2015,LC,NA,LC,0,2018-1
