iucn_sid,sciname
42385,Pinus mugo
18153856,Pinus mugo subsp. rotundata
34058,Pinus muricata
32628,Pinus nelsonii
42386,Pinus nigra
34191,Pinus nigra subsp. dalmatica
20453493,Pinus nigra subsp. laricio
20453795,Pinus nigra subsp. nigra
20454606,Pinus nigra subsp. pallasiana
20454910,Pinus nigra subsp. salzmannii
34192,Pinus occidentalis
42387,Pinus oocarpa
39068,Pinus palustris
42388,Pinus parviflora
191641,Pinus parviflora var. parviflora
191642,Pinus parviflora var. pentaphylla
42389,Pinus patula
19555755,Pinus patula var. longipedunculata
19568129,Pinus patula var. patula
34193,Pinus peuce
42390,Pinus pinaster
63554,Pinus pinaster subsp. renoui
32629,Pinus pinceana
42391,Pinus pinea
42401,Pinus ponderosa
42402,Pinus praetermissa
42403,Pinus pringlei
42404,Pinus pseudostrobus
42405,Pinus pumila
42406,Pinus pungens
42407,Pinus quadrifolia
42408,Pinus radiata
33553,Pinus radiata var. binata
34743,Pinus radiata var. radiata
42409,Pinus remota
42410,Pinus resinosa
42411,Pinus rigida
42412,Pinus roxburghii
33924,Pinus rzedowskii
42413,Pinus sabiniana
42414,Pinus serotina
42415,Pinus sibirica
38283,Pinus squamata
42416,Pinus strobiformis
42417,Pinus strobus
32499,Pinus strobus var. chiapensis
42418,Pinus sylvestris
42419,Pinus tabuliformis
20457025,Pinus tabuliformis var. mukdensis
191645,Pinus tabuliformis var. tabuliformis
191646,Pinus tabuliformis var. umbraculifera
42420,Pinus taeda
42421,Pinus taiwanensis
191647,Pinus taiwanensis var. fragilissima
191648,Pinus taiwanensis var. taiwanensis
35764,Pinus tecunumanii
42422,Pinus teocote
42423,Pinus thunbergii
42424,Pinus torreyana
34013,Pinus torreyana ssp. insularis
34015,Pinus torreyana ssp. torreyana
42425,Pinus tropicalis
43945544,Pinus uncinata
42426,Pinus virginiana
42427,Pinus wallichiana
191649,Pinus wallichiana var. parva
191650,Pinus wallichiana var. wallichiana
32368,Pinus wangii
42428,Pinus yunnanensis
191651,Pinus yunnanensis var. pygmaea
191652,Pinus yunnanensis var. yunnanensis
31305,Platycladus orientalis
38321,Podocarpus acuminatus
42485,Podocarpus acutifolius
31053,Podocarpus affinis
191536,Podocarpus angustifolius
42487,Podocarpus aracensis
42488,Podocarpus archboldii
34158,Podocarpus atjehensis
34159,Podocarpus borneensis
42489,Podocarpus bracteatus
42490,Podocarpus brasiliensis
42491,Podocarpus brassii
32805,Podocarpus brevifolius
191532,Podocarpus buchii
34160,Podocarpus capuronii
42493,Podocarpus celatus
63556,Podocarpus chingianus
42495,Podocarpus confertus
42496,Podocarpus coriaceus
31351,Podocarpus costalis
39608,Podocarpus costaricensis
42497,Podocarpus crassigemma
42498,Podocarpus cunninghamii
31001,Podocarpus decumbens
31408,Podocarpus deflexus
34064,Podocarpus dispermus
34066,Podocarpus drouynianus
191533,Podocarpus ekmanii
42500,Podocarpus elatus
42501,Podocarpus elongatus
34067,Podocarpus fasciculus
34068,Podocarpus gibbsiae
42503,Podocarpus glaucus
34069,Podocarpus globulus
42504,Podocarpus glomeratus
42505,Podocarpus gnidioides
42506,Podocarpus grayae
34084,Podocarpus guatemalensis
42507,Podocarpus henkelii
34085,Podocarpus hispaniolensis
39609,Podocarpus humbertii
42509,Podocarpus insularis
34086,Podocarpus lambertii
42510,Podocarpus latifolius
34087,Podocarpus laubenfelsii
42511,Podocarpus lawrencei
42512,Podocarpus ledermannii
42513,Podocarpus levis
42514,Podocarpus longefoliolatus
34088,Podocarpus lophatus
42515,Podocarpus lucienii
42516,Podocarpus macrocarpus
42517,Podocarpus macrophyllus
191654,Podocarpus macrophyllus var. macrophyllus
191653,Podocarpus macrophyllus var. maki
42518,Podocarpus madagascariensis
46512559,Podocarpus madagascariensis var. madagascariensis
39610,Podocarpus madagascariensis var. procerus
46512613,Podocarpus madagascariensis var. rotundus
42519,Podocarpus magnifolius
39154,Podocarpus matudae
34089,Podocarpus micropedunculatus
42520,Podocarpus milanjianus
34091,Podocarpus nakaii
42521,Podocarpus neriifolius
42499,Podocarpus neriifolius var. degeneri
42522,Podocarpus nivalis
42523,Podocarpus novae-caledoniae
32029,Podocarpus nubigenus
46413452,Podocarpus oleifolius
18153764,Podocarpus orarius
42559,Podocarpus palawanensis
34092,Podocarpus pallidus
32019,Podocarpus parlatorei
34093,Podocarpus pendulifolius
42560,Podocarpus perrieri
39595,Podocarpus pilgeri
31004,Podocarpus polyspermus
42525,Podocarpus polystachyus
42526,Podocarpus pseudobracteatus
34094,Podocarpus purdieanus
39611,Podocarpus ramosii
42527,Podocarpus ridleyi
34095,Podocarpus roraimae
34096,Podocarpus rostratus
46406346,Podocarpus rubens
42529,Podocarpus rumphii
34097,Podocarpus rusbyi
42530,Podocarpus salicifolius
32030,Podocarpus salignus
34098,Podocarpus salomoniensis
34099,Podocarpus sellowii
18153749,Podocarpus sellowii var. angustifolius
18153739,Podocarpus sellowii var. sellowii
34100,Podocarpus smithii
18153758,Podocarpus spathoides
42531,Podocarpus spinulosus
42532,Podocarpus sprucei
42533,Podocarpus steyermarkii
34102,Podocarpus subtropicalis
42534,Podocarpus sylvestris
42535,Podocarpus tepuiensis
42536,Podocarpus teysmannii
42537,Podocarpus totara
34104,Podocarpus transiens
34105,Podocarpus trinitensis
34106,Podocarpus urbanii
35934,Prumnopitys andina
38323,Prumnopitys exigua
42538,Prumnopitys ferruginea
42539,Prumnopitys ferruginoides
32287,Prumnopitys harmsiana
34107,Prumnopitys ladei
42540,Prumnopitys montana
38324,Prumnopitys standleyi
42541,Prumnopitys taxifolia
34196,Pseudolarix amabilis
32798,Pseudotaxus chienii
31291,Pseudotsuga japonica
34025,Pseudotsuga macrocarpa
42429,Pseudotsuga menziesii
42430,Pseudotsuga sinensis
34197,Pseudotsuga sinensis var. brevifolia
34199,Pseudotsuga sinensis var. gaussenii
34198,Pseudotsuga sinensis var. sinensis
42542,Retrophyllum comptonii
34108,Retrophyllum minus
34109,Retrophyllum piresii
34110,Retrophyllum rospigliosii
42543,Retrophyllum vitiense
32053,Saxegothaea conspicua
34111,Sciadopitys verticillata
