iucn_sid,sciname,kingdom,phylum,class,order,family,main_common_name,published_year,old_cat,criteria,aoo_km2,eoo_km2,depth_upper,depth_lower,cat,cat_score
161342,Gymnura australis,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,GYMNURIDAE,Australian Butterfly Ray,2015,LC,NA,NA,NA,0,60,LC,0
161345,Rajella bathyphila,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Deepwater Skate,2009,LC,NA,NA,NA,NA,NA,LC,0
161346,Narcine westraliensis,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,NARCINIDAE,Banded Numbfish,2015,LC,NA,NA,NA,10,70,LC,0
161349,Benthobatis moresbyi,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,NARCINIDAE,Indian Blind Numbfish,2017,LC,NA,NA,NA,787,1071,LC,0
161350,Bathyraja maculata,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Whiteblotched Skate,2015,LC,NA,NA,NA,73,1193,LC,0
161358,Sinobatis melanosoma,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Blackbodied Legskate,2009,LC,NA,NA,NA,575,1100,LC,0
161360,Squalus chloroculus,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,SQUALIDAE,Greeneye Spurdog,2009,NT,NA,NA,NA,216,1360,NT,0.2
161364,Galeus eastmani,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Geko Catshark,2009,LC,NA,NA,NA,100,900,LC,0
161366,Bathyraja spinicauda,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Spinytail Skate,2009,NT,NA,NA,NA,NA,NA,NT,0.2
161370,Pavoraja nitida,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Peacock Skate,2015,LC,NA,NA,NA,75,450,LC,0
161371,Rajella bigelowi,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Bigelow's Skate,2009,LC,NA,NA,NA,367,4156,LC,0
161372,Bathyraja andriashevi,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Little-eyed Skate,2009,LC,NA,NA,NA,1200,2004,LC,0
161373,Pseudobatos percellens,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,RHINOBATIDAE,Southern Guitarfish,2016,NT,NA,NA,NA,0,110,NT,0.2
161375,Bathyraja trachura,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Roughtail Skate,2015,LC,NA,NA,NA,213,2550,LC,0
