loiczid,n_spp,mean_risk
177077,57,0.11578947368421053
177078,56,0.125
177079,52,0.12307692307692308
177080,75,0.09866666666666667
177081,80,0.0925
177082,85,0.08705882352941177
177083,81,0.09135802469135802
177084,97,0.0865979381443299
177085,105,0.0838095238095238
177086,110,0.08545454545454546
177087,122,0.09016393442622951
177088,94,0.0851063829787234
177089,64,0.1125
177090,57,0.11578947368421053
177091,60,0.11
177092,63,0.10793650793650794
177093,91,0.08351648351648353
177094,136,0.07647058823529412
177095,141,0.08085106382978724
177096,182,0.08131868131868132
177097,81,0.10123456790123457
177098,81,0.10123456790123457
177099,82,0.1073170731707317
177100,81,0.10864197530864197
177101,64,0.1125
177102,69,0.11304347826086956
177103,64,0.115625
177104,69,0.10724637681159421
177105,83,0.0963855421686747
177106,83,0.0891566265060241
177107,79,0.09367088607594937
177108,71,0.10140845070422536
177109,55,0.11636363636363636
177110,56,0.1142857142857143
177111,56,0.1142857142857143
177112,57,0.11228070175438597
177113,57,0.11228070175438597
177114,57,0.11228070175438597
177115,57,0.11228070175438597
177116,56,0.1142857142857143
177117,71,0.10140845070422536
177118,85,0.08705882352941177
177119,66,0.10606060606060606
177120,65,0.10153846153846154
177121,111,0.0846846846846847
177122,115,0.09217391304347826
177123,49,0.14285714285714285
177124,42,0.14285714285714285
177125,43,0.13953488372093023
177126,43,0.13953488372093023
177127,43,0.13953488372093023
177128,44,0.1590909090909091
177129,46,0.15217391304347827
177130,43,0.13953488372093023
177131,43,0.13953488372093023
177132,39,0.12820512820512822
177133,38,0.13157894736842105
177134,36,0.1388888888888889
177135,34,0.1411764705882353
177136,33,0.13333333333333333
177137,35,0.16571428571428573
177138,41,0.14634146341463414
177139,26,0.12307692307692308
177140,26,0.1
177141,29,0.10344827586206898
177142,26,0.1
177143,23,0.11304347826086956
177144,22,0.1181818181818182
177145,23,0.11304347826086956
177146,16,0.1875
177147,15,0.16
177148,16,0.15000000000000002
177149,17,0.15294117647058825
177150,16,0.15000000000000002
177151,15,0.2
177152,12,0.16666666666666669
177153,11,0.14545454545454548
177154,11,0.14545454545454548
177155,13,0.18461538461538463
177156,13,0.18461538461538463
177157,13,0.18461538461538463
177158,13,0.23076923076923078
177159,12,0.2
177160,13,0.18461538461538463
177161,16,0.225
177162,14,0.17142857142857143
177163,16,0.225
177164,15,0.2
177165,14,0.2142857142857143
177166,14,0.2142857142857143
177167,15,0.21333333333333335
