iucn_sid,year,cat_ts,cat_ts_score,iucn_version
60469441,2015,LC,0,2017-3
60469527,2015,LC,0,2017-3
60469546,2015,LC,0,2017-3
60469552,2015,LC,0,2017-3
60469670,2015,LC,0,2017-3
60469804,2015,LC,0,2017-3
60469816,2015,LC,0,2017-3
60469866,2015,LC,0,2017-3
60469980,2015,LC,0,2017-3
60470092,2015,LC,0,2017-3
60470096,2015,LC,0,2017-3
60470322,2015,LC,0,2017-3
60470339,2015,VU,0.4,2017-3
60470344,2015,LC,0,2017-3
60470373,2015,LC,0,2017-3
60470376,2015,LC,0,2017-3
60470379,2015,LC,0,2017-3
60470392,2015,LC,0,2017-3
