am_sid,area_km2_0pct,area_km2_60pct,area_km2_probwt
ITS-Mam-180438,204875721.68,81676248.10000001,100753641.374
ITS-Mam-180440,233612909.90999997,12563147.46,55974707.1899
ITS-Mam-180442,11833689.22,3276108.2,5309524.6445
ITS-Mam-180443,15636148.78,4001551.5,6282718.1963
ITS-Mam-180444,28513436.83,5580493.58,10039425.5395
ITS-Mam-180445,79854202.42,10528449.17,23812156.673100002
ITS-Mam-180446,1481881.4,1039462.31,1018460.5247
ITS-Mam-180447,80266395.45,50684881.730000004,52396935.1051
ITS-Mam-180449,2644673.44,1303482.82,1460502.8364
ITS-Mam-180450,318339.19,235771.8,248385.8899
ITS-Mam-180451,178847.78,14554.03,45976.5832
ITS-Mam-180452,327724.8,115926.54,138112.8056
ITS-Mam-180454,18387808.28,4726322.03,7827685.9399
ITS-Mam-180455,91534165.06,62147866.06,62172019.903400004
ITS-Mam-180457,287702128.50999993,27629306.14,83853886.5895
ITS-Mam-180459,163620962.05,50453984.78,71028803.5268
ITS-Mam-180461,197456925.23,57176499.43,86559332.25580001
ITS-Mam-180463,269326544.09,73173202.79,126032089.2146
ITS-Mam-180466,255001072.43999997,55536212.730000004,110341105.8977
ITS-Mam-180469,347482325.96,82642777.22,142412169.06170002
ITS-Mam-180471,3131319.62,2224738.88,2189409.7947
ITS-Mam-180473,13596304.05,5206156.65,6514256.7964
ITS-Mam-180474,78397.42,24608.92,34575.8964
ITS-Mam-180475,56805173.34,25407080.61,30536541.9797
