iucn_sid,sciname,main_common_name,cat,cat_score,published_year,iucn_version
69181503,Ptereleotris monoptera,Monofin Dartfish	,LC,0,2016,2018-1
69181516,Ptereleotris uroditaenia,Flagtail Dartfish,LC,0,2016,2018-1
69181519,Ptereleotris zebra,Chinese Zebra Goby,LC,0,2016,2018-1
69181822,Mulloidichthys mimicus,Mimic goatfish,LC,0,2016,2018-1
69181847,Mulloidichthys pfluegeri,Orange goatfish,LC,0,2016,2018-1
69181884,Mulloidichthys vanicolensis,Yellowfin goatfish,LC,0,2016,2018-1
69181934,Parupeneus barberinoides,Bicolor goatfish,LC,0,2016,2018-1
69181941,Parupeneus barberinus,Dash-and-dot goatfish,LC,0,2016,2018-1
69181948,Parupeneus chrysonemus,Yellow-threaded goatfish,LC,0,2016,2018-1
69181969,Parupeneus ciliatus,Whitesaddle goatfish,LC,0,2016,2018-1
69182011,Parupeneus cyclostomus,Gold-saddle goatfish,LC,0,2016,2018-1
69182291,Parupeneus insularis,Twosaddle goatfish,LC,0,2016,2018-1
69182614,Parupeneus indicus,Indian goatfish,LC,0,2016,2018-1
69182673,Parupeneus jansenii,Jansen's goatfish,LC,0,2016,2018-1
69182687,Parupeneus louise,NA,LC,0,2016,2018-1
69182717,Parupeneus moffitti,NA,DD,NA,2016,2018-1
69182861,Parupeneus pleurostigma,Sidespot goatfish,LC,0,2016,2018-1
69182988,Parupeneus porphyreus,Whitesaddle Goatfish,NT,0.2,2016,2018-1
69183023,Parupeneus spilurus,Blackspot goatfish,LC,0,2016,2018-1
69538564,Upeneichthys lineatus,Blue-lined Goatfish,LC,0,2016,2018-1
69538573,Upeneus australiae,Australian Goatfish,LC,0,2016,2018-1
69538576,Upeneus francisi,Francis' Goatfish,LC,0,2016,2018-1
69538579,Upeneus mouthami,Moutham's goatfish,DD,NA,2016,2018-1
69538589,Upeneus taeniopterus,Finstripe Goatfish,LC,0,2016,2018-1
69539228,Nemipterus balinensoides,Dwarf Threadfin Bream,LC,0,2016,2018-1
69539262,Nemipterus furcosus,Fork-tailed Threadfin Bream,LC,0,2016,2018-1
69539271,Nemipterus hexodon,Ornate Threadfin Bream,LC,0,2016,2018-1
69539284,Nemipterus vitiensis,Fiji Threadfin Bream,LC,0,2016,2018-1
69539293,Nemipterus zysron,Slender Threadfin Bream,LC,0,2016,2018-1
69539322,Pentapodus aureofasciatus,Yellowstripe Threadfin Bream,LC,0,2016,2018-1
69539343,Pentapodus caninus,Small-toothed Whiptail,LC,0,2016,2018-1
69539356,Pentapodus nagasakiensis,Japanese Whiptail,LC,0,2016,2018-1
69539374,Pentapodus trivittatus,Three-striped Whiptail,LC,0,2016,2018-1
69539421,Scolopsis affinis,Peters' Monocle Bream,LC,0,2016,2018-1
69539499,Scolopsis bilineata,Two-lined Monocle Bream,LC,0,2016,2018-1
69539506,Scolopsis ciliata,Saw-jawed Monocle Bream,LC,0,2016,2018-1
69539564,Scolopsis lineata,Striped Monocle Bream,LC,0,2016,2018-1
69539571,Scolopsis margaritifera,Pearly Monocle Bream,LC,0,2016,2018-1
69539597,Scolopsis monogramma,Monogrammed Monocle Bream,LC,0,2016,2018-1
69539604,Scolopsis taenioptera,Lattice Monocle Bream,LC,0,2016,2018-1
69539611,Scolopsis temporalis,Bald-spot Monocle Bream,LC,0,2016,2018-1
69539627,Scolopsis trilineata,Three-lined Monocle Bream,LC,0,2016,2018-1
69544768,Opistognathus solorensis,Solor Jawfish,LC,0,2016,2018-1
69544771,Opistognathus variabilis,Variable Jawfish,LC,0,2016,2018-1
69544846,Stalix histrio,Harlequin Jawfish,LC,0,2016,2018-1
69545534,Priacanthus macracanthus,Red Bigeye,LC,0,2016,2018-1
69545542,Priacanthus meeki,Hawaiian Bigeye,LC,0,2016,2018-1
69545545,Priacanthus sagittarius,Arrow Bulleye,LC,0,2016,2018-1
69545550,Pristigenys meyeri,NA,LC,0,2016,2018-1
69545557,Pristigenys niphonia,Japanese Bigeye,LC,0,2016,2018-1
69583335,Amsichthys knighti,Knight's Dottyback,LC,0,2016,2018-1
69583348,Cypho purpurascens,Oblique-lined Dottyback,LC,0,2016,2018-1
69583361,Lubbockichthys multisquamatus,Many-scaled Dottyback,LC,0,2016,2018-1
69583368,Lubbockichthys myersi,NA,DD,NA,2016,2018-1
69583371,Manonichthys polynemus,Thread-finned Dottyback,DD,NA,2016,2018-1
69583382,Ogilbyina salvati,NA,LC,0,2016,2018-1
69583393,Pictichromis paccagnellae,Royal Dottyback,LC,0,2016,2018-1
69583400,Pictichromis porphyrea,Magneta Dottyback,LC,0,2016,2018-1
69583407,Pseudochromis bitaeniatus,Two-lined Dottyback,LC,0,2016,2018-1
69583414,Pseudochromis cyanotaenia,Bluebarred Dottyback,LC,0,2016,2018-1
69583417,Pseudochromis fuscus,Brown Dottyback,LC,0,2016,2018-1
69583420,Pseudochromis jamesi,Spot-tail Dottyback,LC,0,2016,2018-1
69583423,Pseudochromis kolythrus,NA,DD,NA,2016,2018-1
69583426,Pseudochromis marshallensis,Marshall Dottyback,LC,0,2016,2018-1
69583433,Pseudochromis melanurus,Blacktail Dottyback,LC,0,2016,2018-1
69583436,Pseudochromis moorei,Jaguar Dottyback,DD,NA,2016,2018-1
69583439,Pseudochromis pylei,Pyle's Dottyback,DD,NA,2016,2018-1
69583442,Pseudochromis tapeinosoma,Horseshoe-tailed Dottyback,LC,0,2016,2018-1
69583447,Pseudoplesiops annae,Anna's Dottyback,LC,0,2016,2018-1
69583454,Pseudoplesiops howensis,Lord Howe Dottyback,LC,0,2016,2018-1
69583457,Pseudoplesiops revellei,Bearded Dottyback,LC,0,2016,2018-1
69583460,Pseudoplesiops rosae,Rose Island Dottyback,LC,0,2016,2018-1
69583463,Pseudoplesiops typus,Ring-eyed Dottyback,LC,0,2016,2018-1
69583466,Pseudoplesiops wassi,Fleckfin Dottyback,LC,0,2016,2018-1
69584026,Acanthistius cinctus,Yellowbanded Perch,LC,0,2016,2018-1
69584035,Aporops bilinearis,Blotched Podge,LC,0,2016,2018-1
69584048,Aulacocephalus temminckii,Goldribbon soapfish,LC,0,2016,2018-1
69584098,Belonoperca chabanaudi,Arrowhead Soapfish,LC,0,2016,2018-1
69584101,Belonoperca pylei,Orangespotted Soapfish,LC,0,2016,2018-1
69584331,Caprodon krasyukovae,Krasyukova's Perch,LC,0,2016,2018-1
69584359,Caprodon longimanus,Pink Maomao,LC,0,2016,2018-1
69584395,Caprodon schlegelii,Sunrise Perch,LC,0,2016,2018-1
69584403,Diploprion bifasciatum,Barred Soapfish,LC,0,2016,2018-1
69584408,Grammistes sexlineatus,Goldenstriped Soapfish,LC,0,2016,2018-1
69584417,Grammistops ocellatus,Ocellate Soapfish,LC,0,2016,2018-1
69584420,Liopropoma aurora,Yellowmargin Basslet,LC,0,2016,2018-1
69584428,Liopropoma collettei,Collette's Basslet,LC,0,2016,2018-1
69584431,Liopropoma erythraeum,NA,LC,0,2016,2018-1
69584435,Liopropoma flavidum,NA,LC,0,2016,2018-1
69584469,Liopropoma japonicum,Spotlined Bass,LC,0,2016,2018-1
69584488,Liopropoma latifasciatum,Blackstripe Basslet,LC,0,2016,2018-1
69584519,Liopropoma lemniscatum,Ribbon Basslet,LC,0,2016,2018-1
69584524,Liopropoma lunulatum,NA,LC,0,2016,2018-1
69584537,Liopropoma maculatum,NA,LC,0,2016,2018-1
69584560,Liopropoma mitratum,Pinstriped Basslet,LC,0,2016,2018-1
69584566,Liopropoma multilineatum,Manyline Perch,LC,0,2016,2018-1
69584573,Liopropoma pallidum,Pallid Basslet,LC,0,2016,2018-1
69584835,Liopropoma susumi,Meteor Perch,LC,0,2016,2018-1
69585676,Liopropoma swalesi,Swales' Basslet,LC,0,2016,2018-1
69585696,Liopropoma tonstrinum,Redstriped Basslet,LC,0,2016,2018-1
69586094,Luzonichthys waitei,Waite's Splitfin,LC,0,2016,2018-1
69586372,Luzonichthys whitleyi,Whitley's Splitfin,LC,0,2016,2018-1
69586671,Odontanthias borbonius,Checked Swallowtail,LC,0,2016,2018-1
69587098,Odontanthias chrysostictus,NA,LC,0,2016,2018-1
69587107,Odontanthias elizabethae,NA,LC,0,2016,2018-1
69587178,Odontanthias fuscipinnis,Hawaiian Deep Anthias,LC,0,2016,2018-1
69587263,Odontanthias katayamai,NA,LC,0,2016,2018-1
69587548,Plectranthias cirrhitoides,NA,LC,0,2016,2018-1
69587773,Plectranthias fijiensis,NA,DD,NA,2016,2018-1
