iucn_sid,sciname,presence,subpop,dbf_file,max_depth,kingdom,phylum,class,order,taxon
18123960,Anoplogaster cornuta,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anoplogaster_cornuta.dbf,200 m +,ANIMALIA,chordata,actinopterygii,beryciformes,beryciformes
18123632,Anotopterus pharao,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anotopterus_pharao.dbf,200 m +,ANIMALIA,chordata,actinopterygii,aulopiformes,aulopiformes
155277,Antennarius analis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Antennarius_analis.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,lophiiformes,lophiiformes
190459,Antennarius multiocellatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Antennarius_multiocellatus.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,lophiiformes,lophiiformes
16406968,Antennarius pauciradiatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Antennarius_pauciradiatus.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,lophiiformes,lophiiformes
16406979,Antennarius striatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Antennarius_striatus.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,lophiiformes,lophiiformes
183660,Antennatus sanguineus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Antennatus_sanguineus.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,lophiiformes,lophiiformes
183522,Antennatus strigatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Antennatus_strigatus.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,lophiiformes,lophiiformes
190385,Antimora rostrata,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Antimora_rostrata.dbf,200 m +,ANIMALIA,chordata,actinopterygii,gadiformes,gadiformes
60469204,Apagesoma delosommatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Apagesoma_delosommatus.dbf,200 m +,ANIMALIA,chordata,actinopterygii,ophidiiformes,ophidiiformes
183734,Aphos porosus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Aphos_porosus.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,batrachoidiformes,batrachoidiformes
57453548,Aphyonus gelatinosus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Aphyonus_gelatinosus.dbf,200 m +,ANIMALIA,chordata,actinopterygii,ophidiiformes,ophidiiformes
60469215,Aphyonus rassi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Aphyonus_rassi.dbf,200 m +,ANIMALIA,chordata,actinopterygii,ophidiiformes,ophidiiformes
18258584,Apletodon bacescui,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Apletodon_bacescui.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,gobiesociformes,gobiesociformes
60469220,Apletodon barbatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Apletodon_barbatus.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,gobiesociformes,gobiesociformes
198605,Apletodon incognitus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Apletodon_incognitus.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,gobiesociformes,gobiesociformes
