iucn_sid,pop_trend,year,old_cat,cat_txt,param_id,api_error,cat_ts,cat_score,cat_ts_score,trend_score
189357,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189375,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189378,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189390,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189405,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189416,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189417,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189424,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189429,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189436,stable,2012,LC,Least Concern,NA,NA,LC,0,0,0
189453,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189455,stable,2011,LC,Least Concern,NA,NA,LC,0,0,0
189463,stable,2011,LC,Least Concern,NA,NA,LC,0,0,0
189470,stable,2011,LC,Least Concern,NA,NA,LC,0,0,0
189480,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189483,decreasing,2011,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
189512,stable,2011,LC,Least Concern,NA,NA,LC,0,0,0
189513,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189550,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189557,stable,2011,LC,Least Concern,NA,NA,LC,0,0,0
189591,stable,2011,LC,Least Concern,NA,NA,LC,0,0,0
189618,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189674,unknown,2012,LC,Least Concern,NA,NA,LC,0,0,NA
189675,decreasing,2012,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
189728,unknown,2012,LC,Least Concern,NA,NA,LC,0,0,NA
189731,unknown,2012,LC,Least Concern,NA,NA,LC,0,0,NA
189736,unknown,2012,LC,Least Concern,NA,NA,LC,0,0,NA
189744,unknown,2014,LC,Least Concern,NA,NA,LC,0,0,NA
189746,unknown,2014,LC,Least Concern,NA,NA,LC,0,0,NA
189747,unknown,2014,NT,Near Threatened,NA,NA,NT,0.2,0.2,NA
189748,unknown,2014,LC,Least Concern,NA,NA,LC,0,0,NA
189750,unknown,2014,LC,Least Concern,NA,NA,LC,0,0,NA
189752,stable,2014,LC,Least Concern,NA,NA,LC,0,0,0
189793,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189795,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189818,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
189819,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
189820,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
189823,stable,2013,LC,Least Concern,NA,NA,LC,0,0,0
189824,stable,2013,LC,Least Concern,NA,NA,LC,0,0,0
189828,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
189829,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
19002902,decreasing,2016,EN,Endangered,NA,NA,EN,0.6,0.6,-0.5
190064,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190065,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190066,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190067,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190069,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190070,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190071,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190072,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190073,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190079,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
190080,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
190081,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190082,stable,2013,LC,Least Concern,NA,NA,LC,0,0,0
190083,unknown,2016,LC,Least Concern,NA,NA,LC,0,0,NA
190085,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190086,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190087,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
