iucn_sid,years,cat_ts,scores,pop_trend_desc,calc_trend
133272,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133277,"2008, 2014","LC, LC","0, 0",unknown,NA
133284,"2008, 2014","LC, LC","0, 0",decreasing,NA
133289,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133290,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133291,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133292,"2008, 2014","LC, LC","0, 0",decreasing,NA
133293,"2008, 2014","LC, LC","0, 0",decreasing,NA
133302,"2008, 2014","LC, LC","0, 0",decreasing,NA
133303,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133304,"2008, 2014","LC, LC","0, 0",unknown,NA
133308,"2008, 2014","LC, LC","0, 0",unknown,NA
133314,"2008, 2014","LC, LC","0, 0",decreasing,NA
133315,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133324,"2008, 2014","LC, LC","0, 0",decreasing,NA
133325,"2008, 2014","LC, LC","0, 0",decreasing,NA
133326,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133327,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133329,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133330,"2008, 2014","LC, LC","0, 0",unknown,NA
133332,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133337,"2008, 2014","LC, LC","0, 0",unknown,NA
133343,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133345,"2008, 2014","LC, LC","0, 0",decreasing,NA
133351,"2008, 2014","LC, LC","0, 0",unknown,NA
133353,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133357,"2008, 2014","LC, LC","0, 0",unknown,NA
133360,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133365,"2008, 2014","LC, LC","0, 0",decreasing,NA
133376,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133378,"2008, 2014","LC, LC","0, 0",unknown,NA
133380,"2008, 2014","LC, LC","0, 0",unknown,NA
133382,"2008, 2014","LC, LC","0, 0",unknown,NA
133386,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133387,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133390,"2008, 2014","LC, LC","0, 0",unknown,NA
133398,"2008, 2014","LC, LC","0, 0",unknown,NA
133403,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133406,"2008, 2014","LC, LC","0, 0",unknown,NA
133407,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133410,"2008, 2014","LC, LC","0, 0",unknown,NA
133414,"2008, 2014","LC, LC","0, 0",decreasing,NA
133415,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133418,"2008, 2014","LC, LC","0, 0",unknown,NA
133419,"2008, 2014","LC, LC","0, 0",unknown,NA
133420,"2008, 2014","LC, LC","0, 0",decreasing,NA
133423,"2008, 2014","LC, LC","0, 0",unknown,NA
133426,"2008, 2014","LC, LC","0, 0",decreasing,NA
133428,"2008, 2014","LC, LC","0, 0",unknown,NA
133438,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133440,"2008, 2014","LC, LC","0, 0",decreasing,NA
133448,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133451,"2008, 2014","LC, LC","0, 0",decreasing,NA
133452,"2008, 2014","LC, LC","0, 0",decreasing,NA
133453,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133456,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133458,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133459,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133463,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133468,"2008, 2014","LC, LC","0, 0",decreasing,NA
133470,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133473,"2008, 2014","LC, LC","0, 0",unknown,NA
133474,"2008, 2014","LC, LC","0, 0",unknown,NA
133478,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133482,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133485,"2008, 2014","LC, LC","0, 0",decreasing,NA
133486,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133493,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133495,"2008, 2014","LC, LC","0, 0",unknown,NA
133496,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133502,"2008, 2014","LC, LC","0, 0",unknown,NA
133503,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133516,"2008, 2014","LC, LC","0, 0",decreasing,NA
133523,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133525,"2008, 2014","LC, LC","0, 0",decreasing,NA
133526,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133531,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133532,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133538,"2008, 2014","LC, LC","0, 0",unknown,NA
133539,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133545,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133548,"2008, 2014","LC, LC","0, 0",unknown,NA
133551,"2008, 2014","LC, LC","0, 0",unknown,NA
133557,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133558,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133559,"2008, 2014","LC, LC","0, 0",unknown,NA
