cell_id,iucn_sid,spp_gp,max_depth
2124660,60108,CHONDRICHTHYES,200 m +
2211043,60108,CHONDRICHTHYES,200 m +
2221857,60108,CHONDRICHTHYES,200 m +
2221857,60110,CHONDRICHTHYES,< 200 m
1915782,60112,CHONDRICHTHYES,< 200 m
2110256,60112,CHONDRICHTHYES,< 200 m
2124660,60112,CHONDRICHTHYES,< 200 m
2221857,60112,CHONDRICHTHYES,< 200 m
3969436,60118,CHONDRICHTHYES,200 m +
3248104,60157,CHONDRICHTHYES,200 m +
3273298,60157,CHONDRICHTHYES,200 m +
1915782,60177,CHONDRICHTHYES,< 200 m
2110256,60177,CHONDRICHTHYES,< 200 m
2124660,60177,CHONDRICHTHYES,< 200 m
2221857,60177,CHONDRICHTHYES,< 200 m
2110256,60235,CHONDRICHTHYES,200 m +
2124660,60235,CHONDRICHTHYES,200 m +
1915782,60191,CHONDRICHTHYES,200 m +
1919372,60191,CHONDRICHTHYES,200 m +
2110256,60191,CHONDRICHTHYES,200 m +
2124660,60191,CHONDRICHTHYES,200 m +
2211043,60191,CHONDRICHTHYES,200 m +
2221857,60191,CHONDRICHTHYES,200 m +
3273298,60198,CHONDRICHTHYES,< 200 m
1930166,60210,CHONDRICHTHYES,200 m +
2110256,60210,CHONDRICHTHYES,200 m +
2124660,60210,CHONDRICHTHYES,200 m +
2200221,60210,CHONDRICHTHYES,200 m +
2200230,60210,CHONDRICHTHYES,200 m +
2203835,60210,CHONDRICHTHYES,200 m +
2211043,60210,CHONDRICHTHYES,200 m +
2221857,60210,CHONDRICHTHYES,200 m +
3145557,60210,CHONDRICHTHYES,200 m +
3152735,60210,CHONDRICHTHYES,200 m +
3152756,60210,CHONDRICHTHYES,200 m +
3170683,60210,CHONDRICHTHYES,200 m +
3248104,60210,CHONDRICHTHYES,200 m +
3273298,60210,CHONDRICHTHYES,200 m +
3284111,60210,CHONDRICHTHYES,200 m +
3330885,60210,CHONDRICHTHYES,200 m +
3398132,60210,CHONDRICHTHYES,200 m +
3398133,60210,CHONDRICHTHYES,200 m +
3877173,60210,CHONDRICHTHYES,200 m +
3880763,60210,CHONDRICHTHYES,200 m +
3884370,60210,CHONDRICHTHYES,200 m +
3944241,60210,CHONDRICHTHYES,200 m +
3965838,60210,CHONDRICHTHYES,200 m +
3969436,60210,CHONDRICHTHYES,200 m +
3973169,60210,CHONDRICHTHYES,200 m +
3973171,60210,CHONDRICHTHYES,200 m +
4012758,60210,CHONDRICHTHYES,200 m +
4048604,60210,CHONDRICHTHYES,200 m +
4827640,60210,CHONDRICHTHYES,200 m +
4838443,60210,CHONDRICHTHYES,200 m +
4849246,60210,CHONDRICHTHYES,200 m +
4892449,60210,CHONDRICHTHYES,200 m +
1009795,60213,CHONDRICHTHYES,200 m +
1045794,60213,CHONDRICHTHYES,200 m +
2110256,60220,CHONDRICHTHYES,< 200 m
2124660,60220,CHONDRICHTHYES,< 200 m
2110256,60223,CHONDRICHTHYES,200 m +
2124660,60223,CHONDRICHTHYES,200 m +
1873899,60225,CHONDRICHTHYES,200 m +
1891894,60225,CHONDRICHTHYES,200 m +
1909858,60225,CHONDRICHTHYES,200 m +
1927804,60225,CHONDRICHTHYES,200 m +
1935136,60225,CHONDRICHTHYES,200 m +
1942349,60225,CHONDRICHTHYES,200 m +
2110256,60225,CHONDRICHTHYES,200 m +
2124660,60225,CHONDRICHTHYES,200 m +
2200221,60225,CHONDRICHTHYES,200 m +
2200230,60225,CHONDRICHTHYES,200 m +
2203835,60225,CHONDRICHTHYES,200 m +
2211043,60225,CHONDRICHTHYES,200 m +
2221857,60225,CHONDRICHTHYES,200 m +
