dbf_file,iucn_sid,sciname,subpop,kingdom,phylum,class,order,family,code,marine,terrestrial,freshwater
BUTTERFLYFISH.dbf,165627,Prognathodes aculeatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165630,Chaetodon vagabundus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165632,Chaetodon punctatofasciatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165638,Chaetodon meyeri,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165641,Chaetodon ornatissimus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165642,Chaetodon madagaskariensis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165644,Prognathodes guezei,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,DD,t,f,f
BUTTERFLYFISH.dbf,165645,Prognathodes guyotensis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,DD,t,f,f
BUTTERFLYFISH.dbf,165647,Chaetodon pictus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165648,Chaetodon decussatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165649,Chaetodon gardineri,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165650,Heniochus monoceros,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165651,Chaetodon lunula,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165652,Heniochus varius,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165654,Chaetodon dolosus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165655,Chaetodon multicinctus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165656,Chaetodon xanthurus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165657,Chaetodon plebeius,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165659,Chelmon rostratus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165661,Parachaetodon ocellatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165662,Chaetodon fremblii,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165663,Chaetodon argentatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165669,Chaetodon lineolatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165704,Chaetodon lunulatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165664,Chaetodon oxycephalus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
