iucn_sid,sciname,category,subpop_match,dbf_file
178959,Enneapterygius melanospilus,LC,FALSE,MARINEFISH_PART_3.dbf
178960,Trianectes bucephalus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178960,Trianectes bucephalus,LC,FALSE,MARINEFISH_PART_1.dbf
178961,Gilloblennius abditus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178961,Gilloblennius abditus,LC,FALSE,MARINEFISH_PART_3.dbf
178962,Clinus venustris,LC,FALSE,COMBTOOTHBLENNIES.dbf
178962,Clinus venustris,LC,FALSE,MARINEFISH_PART_3.dbf
178963,Enneapterygius triserialis,LC,FALSE,COMBTOOTHBLENNIES.dbf
178963,Enneapterygius triserialis,LC,FALSE,MARINEFISH_PART_2.dbf
178965,Notoclinops segmentatus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178965,Notoclinops segmentatus,LC,FALSE,MARINEFISH_PART_2.dbf
178966,Helcogramma solorensis,DD,FALSE,COMBTOOTHBLENNIES.dbf
178966,Helcogramma solorensis,DD,FALSE,MARINEFISH_PART_3.dbf
178967,Enneapterygius obscurus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178967,Enneapterygius obscurus,LC,FALSE,MARINEFISH_PART_1.dbf
178968,Pavoclinus smalei,LC,FALSE,COMBTOOTHBLENNIES.dbf
178968,Pavoclinus smalei,LC,FALSE,MARINEFISH_PART_1.dbf
178969,Forsterygion maryannae,LC,FALSE,COMBTOOTHBLENNIES.dbf
178969,Forsterygion maryannae,LC,FALSE,MARINEFISH_PART_3.dbf
178970,Notoclinus fenestratus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178970,Notoclinus fenestratus,LC,FALSE,MARINEFISH_PART_3.dbf
178971,Clinus berrisfordi,LC,FALSE,COMBTOOTHBLENNIES.dbf
178971,Clinus berrisfordi,LC,FALSE,MARINEFISH_PART_1.dbf
178972,Cristiceps aurantiacus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178972,Cristiceps aurantiacus,LC,FALSE,MARINEFISH_PART_1.dbf
178973,Helcogramma rharhabe,LC,FALSE,COMBTOOTHBLENNIES.dbf
178973,Helcogramma rharhabe,LC,FALSE,MARINEFISH_PART_2.dbf
178974,Pavoclinus profundus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178974,Pavoclinus profundus,LC,FALSE,MARINEFISH_PART_2.dbf
178976,Clinus rotundifrons,LC,FALSE,COMBTOOTHBLENNIES.dbf
178976,Clinus rotundifrons,LC,FALSE,MARINEFISH_PART_3.dbf
178977,Enneapterygius paucifasciatus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178977,Enneapterygius paucifasciatus,LC,FALSE,MARINEFISH_PART_1.dbf
178978,Enneanectes altivelis,LC,FALSE,COMBTOOTHBLENNIES.dbf
178978,Enneanectes altivelis,LC,FALSE,MARINEFISH_PART_1.dbf
178979,Helcogramma rhinoceros,LC,FALSE,COMBTOOTHBLENNIES.dbf
178979,Helcogramma rhinoceros,LC,FALSE,MARINEFISH_PART_2.dbf
178980,Clinus nematopterus,LC,FALSE,COMBTOOTHBLENNIES.dbf
