iucn_sid,sciname_api,category
154792,Anodontostoma thailandiae,LC
154793,Jenkinsia lamprotaenia,LC
154794,Oneirodes schmidti,LC
154798,Thalassobathia pelagica,LC
154799,Serranus tigrinus,LC
154801,Talismania mekistonema,LC
154802,Secutor hanedai,LC
154803,Venefica tentaculata,LC
154804,Sciades couma,LC
154805,Sicyases hildebrandi,LC
154806,Zalieutes mcgintyi,LC
154807,Caranx crysos,LC
154813,Aphanopus mikhailini,LC
154814,Sardinella fijiense,LC
154815,Astronesthes richardsoni,LC
154816,Sebastes mentella,LC
154819,Hoplolatilus fourmanoiri,LC
154820,Alepisaurus ferox,LC
154821,Psednos andriashevi,DD
154822,Pterotolithus maculatus,LC
154823,Silhouettea aegyptia,LC
154827,Inimicus caledonicus,LC
154828,Umbrina broussonnetii,LC
154830,Pyramodon lindas,LC
154832,Gymnapogon melanogaster,DD
154833,Bothus mancus,LC
154836,Schindleria praematura,LC
154840,Bollmannia stigmatura,DD
154842,Tomicodon rhabdotus,LC
154843,Rimicola sila,LC
154844,Platybelone argalus,LC
154845,Lyopsetta exilis,LC
154846,Barbuligobius boehlkei,LC
154847,Citharichthys mariajorisae,LC
154848,Gnatholepis cauerensis,LC
154850,Myripristis pralinia,LC
154851,Zanclorhynchus spinifer,LC
154852,Careproctus cactiformis,DD
154853,Syngnathus floridae,LC
154855,Hippichthys spicifer,LC
154857,Silhouettea nuchipunctatus,DD
154859,Lampadena pontifex,LC
154860,Facciolella karreri,LC
154861,Istigobius rigilius,LC
154862,Scartelaos cantoris,DD
154863,Parioglossus taeniatus,LC
154866,Pholis ornata,LC
154869,Myctophum spinosum,LC
154870,Parapercis colias,LC
154871,Ctenogobius thoropsis,LC
154873,Porichthys oculellus,DD
154874,Hetereleotris georgegilli,NT
154875,Cynoscion acoupa,LC
154876,Aioliops brachypterus,VU
154877,Apodocreedia vanderhorsti,DD
154881,Porichthys oculofrenum,DD
154883,Pelotretis flavilatus,LC
154884,Bathymaster derjugini,DD
154885,Neomerinthe rotunda,LC
154886,Synclidopus macleayanus,DD
154887,Psednos harteli,DD
154890,Coryphaenoides subserrulatus,LC
154892,Eugerres axillaris,LC
154893,Solea triophthalma,DD
154895,Chelidonichthys kumu,LC
154896,Patagonotothen kreffti,DD
154898,Eviota storthynx,LC
154899,Uropterygius wheeleri,LC
154900,Nemipterus virgatus,VU
154901,Gazza achlamys,LC
154905,Lepturacanthus pantului,DD
154906,Brama dussumieri,LC
154907,Cetomimus teevani,LC
154908,Normichthys herringi,DD
154909,Eustomias albibulbus,LC
154910,Apogon neotes,LC
154911,Coelorinchus aratrum,DD
154913,Leviprora inops,LC
154914,Rhombosolea plebeia,LC
154916,Chaenophryne longiceps,LC
154917,Favonigobius exquisitus,LC
154924,Notopogon macrosolen,LC
154928,Antigonia combatia,LC
154929,Benthocometes robustus,LC
154930,Batrachoides surinamensis,LC
154931,Pseudochromis sankeyi,LC
154932,Parupeneus posteli,LC
154933,Tetrosomus gibbosus,LC
154934,Congrogadus winterbottomi,DD
154935,Anacanthus barbatus,LC
154936,Chaunax flammeus,LC
154937,Erisphex pottii,LC
154938,Bhanotia nuda,LC
154939,Apterichtus kendalli,LC
154940,Pseudanthias pictilis,LC
154942,Notarius troschelii,LC
154945,Pseudanthias cichlops,LC
154948,Astronesthes indopacificus,LC
154950,Acyrtops amplicirrus,LC
154951,Lethrinus genivittatus,LC
154952,Apogonichthys ocellatus,LC
154953,Lycodes jugoricus,LC
154955,Sillago indica,DD
154956,Zeus capensis,LC
154961,Parapercis somaliensis,LC
154962,Coelorinchus mycterismus,LC
154963,Priolepis sticta,DD
154964,Hoplunnis schmidti,LC
154965,Acreichthys hajam,DD
